name,code,description,status,createTime
超级管理员,SUPER_ADMIN,系统最高权限，拥有所有操作权限,1,2023-01-01 12:00:00
普通管理员,ADMIN,负责日常系统维护和管理,1,2023-01-02 10:30:00
运营人员,OPERATOR,负责内容运营和活动策划,1,2023-01-03 09:15:00
普通用户,USER,注册用户，拥有基本访问权限,1,2023-01-04 14:20:00
测试账号,TEST,用于功能测试的临时账号,0,2023-01-05 16:45:00
审计员,AUDITOR,负责日志审计和合规检查,1,2023-01-06 11:05:00
财务主管,FINANCE_MANAGER,负责财务审批与报表管理,1,2023-01-07 09:40:00
内容编辑,CONTENT_EDITOR,负责内容编辑与发布,1,2023-01-08 15:10:00
客服专员,SUPPORT,负责客户咨询与工单处理,1,2023-01-09 13:25:00
数据分析师,ANALYST,负责数据分析与可视化报告,1,2023-01-10 10:50:00
安全管理员,SECURITY_ADMIN,负责安全策略与权限核查,1,2023-01-11 16:05:00
市场推广,MARKETING,负责市场推广和活动投放,1,2023-01-12 14:35:00
产品经理,PRODUCT_MANAGER,负责需求规划与产品迭代,1,2023-01-13 11:20:00
技术支持,TECH_SUPPORT,负责技术问题排查与支持,1,2023-01-14 09:55:00
外包协作,OUTSOURCER,用于外包协作的有限权限账号,0,2023-01-15 17:15:00
实习生,INTERN,用于实习生学习与辅助工作,1,2023-01-16 08:30:00
访客,GUEST,只读访问权限,1,2023-01-17 12:00:00
项目主管,PROJECT_LEAD,负责项目进度与资源协调,1,2023-01-18 10:10:00
仓库管理员,WAREHOUSE,负责库存与出入库管理,1,2023-01-19 15:45:00
合规专员,COMPLIANCE,负责合规审核与风险控制,1,2023-01-20 13:05:00
运维工程师,DEVOPS,负责系统运维与发布保障,1,2023-01-21 09:05:00
质量管理员,QA,负责质量检查与测试管理,1,2023-01-22 11:55:00
内容审核,CONTENT_REVIEWER,负责内容审核与敏感信息处理,1,2023-01-23 14:15:00
业务专员,BUSINESS,负责业务对接与需求跟进,1,2023-01-24 16:40:00
停用账号,DISABLED,已停用的历史账号,0,2023-01-25 18:00:00
